Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price,Remarks
21-SEP-2026,AARTIPHARM,Aarti Pharmalabs Limited,UNIFI CAPITAL PRIVATE LIMITED,BUY,915000,820.00,-
21-SEP-2026,AGIIL,Agi Infra Limited,ARIHANT CAPITAL MARKETS LIMITED,BUY,694811,272.16,-
21-SEP-2026,AHCL,Anlon Healthcare Limited,PLUTUS WEALTH MANAGEMENT LLP,BUY,3275093,25.01,-
21-SEP-2026,AHCL,Anlon Healthcare Limited,MICROCURVES TRADING PRIVATE LIMITED,BUY,4668109,25.61,-
21-SEP-2026,AHCL,Anlon Healthcare Limited,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,7812624,25.09,-
21-SEP-2026,AHCL,Anlon Healthcare Limited,HRTI PRIVATE LIMITED,BUY,6761069,25.00,-
21-SEP-2026,AHCL,Anlon Healthcare Limited,QE SECURITIES LLP,BUY,4814607,24.91,-
21-SEP-2026,AHCL,Anlon Healthcare Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,5192112,25.20,-
21-SEP-2026,ANURAS,Anupam Rasayan India Ltd,360 ONE PIPE FUND,BUY,900000,1165.00,-
21-SEP-2026,ARIS,Arisinfra Solutions Ltd,VAIBHAV RAJENDRA DOSHI,BUY,475638,137.19,-
21-SEP-2026,ATALREAL,Atal Realtech Limited,QE SECURITIES LLP,BUY,930484,14.09,-
21-SEP-2026,ATALREAL,Atal Realtech Limited,HRTI PRIVATE LIMITED,BUY,1329474,14.01,-
21-SEP-2026,ATALREAL,Atal Realtech Limited,L7 HITECH PRIVATE LIMITED,BUY,200000,14.06,-
21-SEP-2026,ATALREAL,Atal Realtech Limited,JAGID VANITABEN RAJENDRAPRASAD,BUY,2407948,14.05,-
21-SEP-2026,AUTOIND,Autoline Industries Limit,TRADE SOLVENT PRIVATE LIMITED,BUY,300000,83.50,-
21-SEP-2026,AUTOIND,Autoline Industries Limit,AAYUSHMAN RAJESH NUWAL,BUY,25000,84.85,-
21-SEP-2026,COMSYN,Commercial Syn Bags Ltd,NIRMALKUMAR PAREEK,BUY,175000,300.00,-
21-SEP-2026,COMSYN,Commercial Syn Bags Ltd,ARIHANT CAPITAL MARKETS LIMITED,BUY,287339,301.88,-
21-SEP-2026,DHTL,Docmode Health Tech Ltd,GOUTHAMCHANDSIMPAL,BUY,100000,26.66,-
21-SEP-2026,DHTL,Docmode Health Tech Ltd,RAMESH KUMAR JAIN,BUY,56000,26.60,-
21-SEP-2026,FEDDERSHOL,Fedders Holding Ltd.,URJA  INVESTMENT PTE LTD,BUY,1547911,59.39,-
21-SEP-2026,FEDDERSHOL,Fedders Holding Ltd.,HJS SECURITIES PRIVATE LIMITED,BUY,1251932,59.25,-
21-SEP-2026,FEDDERSHOL,Fedders Holding Ltd.,BULLPULSE MARKETEDGE PRIVATE LIMITED,BUY,1250000,56.88,-
21-SEP-2026,FEDDERSHOL,Fedders Holding Ltd.,ASHUTOSH DHIRENDRAKUMAR MANIAR,BUY,1227668,60.43,-
21-SEP-2026,FEDDERSHOL,Fedders Holding Ltd.,QE SECURITIES LLP,BUY,1413305,60.60,-
21-SEP-2026,FEDDERSHOL,Fedders Holding Ltd.,YUGA STOCKS AND COMMODITIES PRIVATE LIMITED,BUY,1421175,63.24,-
